id,value
question_15,.
question_15,.
question_15,.
question_15,..
question_15,Q&A 및 정보공유
question_15,rrtable을 활용하면 효율적으로 데이터 분석 교재를 편집할수 있을 것 같습니다. 그 외 발표도 실무에 요긴하게 활용할 수 있을 것 같습니다.
question_15,R과 관련한 기본적인 부분뿐 아니라 현재 다양한 분야에서 R을 활용하고 있는 최신경향을 파악할 수 있었습니다.
question_15,"R마크다운, R presentation유익했고, 사회과학분야 전공자들 활용도 유익했습니다"
question_15,R에 대해 많이들 어려워하고 있다는 조사 결과를 보고 평소 같은 생각을 하고 있는데 약간의 위로가 ㅋ
question_15,R을 실무에서 사용하시는 분들의 경험과 지식을 구체적으로 들을 수 있어서 좋았습니다.
question_15,R을 파이쎤과 같이 범용적으로 쓸수 없을까 하는 고민을 시작하게 된 계기가 되었습니다.
question_15,R의 다양한 활용 방법들을 알 수 있었습니다.
question_15,R의 다양한 활용에 대해 여러 분야에 계신 분들의 강연을 듣고 질의응답할 수 있어서 좋았습니다.
question_15,"R의 패키지에 대한 발표나 실제 기업에서 R을 사용하는 부분에 대한 발표를 통해 실제 분석에서 적용할 수 있는 인사이트나 새로운 방법들을 얻을 수 있어서 좋았습니다.
또한 단순 분석뿐만 아니라 분석에서 더 나아가 실제 서비스 연결에 대한 부분도 어느 정도 들어볼 수 있어서 유용했던 것 같습니다."
question_15,R의 활용성에 대해서 새로운 견해를 보았습니다.
question_15,R이 분석이 아닌 다른 용도로 쓰이는 예시가 많아 좋았음.
question_15,각 현장에 있는 내용을 바탕으로 스케줄 표가 매우 알찼습니다.
question_15,감사합니다
question_15,경험이나 사례 분석이 좋았습니다.
question_15,"구체적인 경험과 사례를 통해 발표를 해주셔서 실무의 방향성을 잡는데 큰 도움이 되었고, 유용한 소스를 많이 공유해주셔서 추후 활용이 가능할 것으로 보임"
question_15,다른분들의 생각을 느낀 것
question_15,다양한 R활용 노하우 습득
question_15,다양한 데이터사이엔스 분야의 최신동향 파악
question_15,다양한 부분의 강연
question_15,다양한 주제들로 구성되어 좋았습니다.
question_15,다양한 직군에 계시는 분들의 강연
question_15,"다양한주제와 접근소개, 편안한분위기"
question_15,다양해서좋았음
question_15,대한민국에서 이런 컨퍼런스 자체를 개최해주심에 감사합니다.
question_15,"데이터 분석에 대한 컨설팅 장표, 데이터 사이언스 캔버스 등 실제적으로 업무; 비즈니스 활동에 접목해 볼 수 있는 개념들에 대한 설명이 굉장히 좋았고, 참고할 수 있어 감사하였습니다."
question_15,몰랐던 패키지들에 알게되어 업무에 적용해보고싶다
question_15,발표 순서
question_15,발표주제구성
question_15,분석가로서 현업에서 직면할 수 있는 주제를 R이라는 도구로 어떻게 풀어나갈 수 있는 지 소개하고 있어 도움이 많이 되었습니다. 인과추론분석 세션이나 도커와 쿠버네티스를 활용한 R 프로덕트 관련 세션은 실제 실무에서 많은 고민을 하고 있는 주제였는데 향후 실무에 적용하기 위해 관련 학습을 더 할 수 있을 것 같아 좋았습니다👍
question_15,비대면임에도 원활히 진행된 점
question_15,설명이 대체로 자세해서 좋았습니다
question_15,"쉬운 강의가 있어 도움이 많이 되었는데, 제목만으로는 알 수 없는게 아쉬웠습니다."
question_15,실무 예제 소개
question_15,실시간 질의 응답
question_15,"아직은 낯선 분야이지만, 새로운 도전을 해야겠다는 자극이 되었습니다."
question_15,"여러 업계에서 r을 실제로 어떻게 쓰고 있는지, 다양한 활용법과 인사이트를 알 수 있는 좋은 기회였습니다"
question_15,여러가지 케이스들을 볼 수 있어서 좋았습니다
question_15,오전 첫번째 연자분이 열정적으로 강의해주심
question_15,오픈 통계패키지 BitStat 개발이 인상적이었음. 완료되면 사용해 보고 싶음
question_15,온라인 좋음
question_15,우수한 강사진
question_15,이은조 님의 발표가 좋았습니다.
question_15,자막의 수준
question_15,접근 자체가 막연했지만 shiny를 알게되어 좋았습니다
question_15,좋음
question_15,준비하시느라 고생많으셨습니다. R studio 분의 기조연설도 무척 좋았습니다. 그런 스타일로 새 패키지가 나오거나 새로운 책을 내신 분들 강연을 상설화하면 좋을 것 같습니다. 현업에선 새로운 정보가 궁금한데 기조 강연 내용이 튜터리얼 느낌이 섞여서 유익했습니다.
question_15,진행자가 녹화로 진행된 발표의 경우에도 있어서 좋았습니다!
question_15,채팅 및 질답 형태의 컨퍼런스 진행 프로세스가 좋았음. 빠른 피드백이 굿굿.
question_15,최근 패키지를 만들일이 있었는데 생각보다 디테일하게 설명해 주셔서 많은 도움이 되었습니다.
question_15,최신 동향에 대해 알 수 있었음
question_15,컨텐츠 수준이 다수가 만족스러움
question_15,키노트 스피치에 대한 자막 제공
question_15,타이디벌스가 생각보다 요기나게 쓰였다는 점?
question_15,텍스트 마이닝에 대한 내용을 자세히 알 수 있어서 좋았다. 파이썬으로 구현하려는 부분에 대해 R구현도 고려하게 되었다
question_15,항상 감사합니다.
question_15,현업에 계신 분들이 직접 사용하는 case를 알려주셔서 practical하게 사용할 수 있을것 같아 좋았습니다.
question_15,"현장의 말씀들, 그리고 할수있다는 자신감 부여"
question_15,협업의 내용이 많이 나와서 좋았다
question_16,.
question_16,.
question_16,.
question_16,.
question_16,..
question_16,Python과의 비교 및 R의 장점 어필을 많이 해주었으면 함
question_16,"R사용자가 파이썬에 비해 많이 적고 특히 현재 실무에서 직접 R을 적용하시는 분들은 얼마 안되는 것으로 아는데, 이 적은 인원들 간에라도 비록 온라인 상이지만 줌으로 중간 휴식시간에 자유롭게 자기 소개하면서 네트워킹을 할 수 있으면 어땠을까 하는 아쉬움이 남습니다."
question_16,R코드와 함께 발표해주셨던 세션에서 적용해 볼만한 여러 패키지에 대한 설명을 들을 수 있어서 좋았으나 30분이 생각보다 짧아 조금 정리되지 않으면서 지나간 느낌도 듭니다. 또한 동시간대에 진행되는 세션에 대해 모두 들어보고 싶었는데 그러지 못해서 개인적으로 조금 아쉬웠습니다:)
question_16,내년 대회도 기대됩니다. 지속적으로 컨퍼런스가 열리면 좋겠습니다.
question_16,"다소.. 진행이 한 방향으로 진행되는 느낌이 있었고, 중간에 연결이 끊기는 문제가 있었습니다."
question_16,다시 한번더 듣고 싶은 동영상인데 업로드 되는건 아닌거 같아서 아쉬웠습니다
question_16,다음에는 오프라인행사를 기대합니다
question_16,대체적으로 도움이 되는 시간이었음
question_16,모두 괜찮았습니다
question_16,미쳐 컨퍼런스를 신청하지 못한 사람들에게 공유하기 어려움
question_16,"발표자들의 수준 편차가 살짝 있었다고 판단되지만, 전반적으로 훌륭한 컨퍼런스였습니다."
question_16,생각보다 영상이 자주 끊깁니다
question_16,소리및 끊김
question_16,시간관계상 빨리 끝난 발표들
question_16,시간이 다소 부족했음.
question_16,시간이 조금 짧아 Q&A시간이 부족했다고 생각됩니다
question_16,실시간발표/동영상발표 로 세션을 나누기보다 주제별로 나누어 두세션을 운영하면 더 좋았을듯 합니다
question_16,실제 응용 사례들이 조금 부족했던 것 같음
question_16,없습니다
question_16,없습니다
question_16,없습니다.
question_16,없습니다^^
question_16,없음
question_16,없음
question_16,없음
question_16,없음
question_16,없음
question_16,없음
question_16,연결 끊김 현상 발생
question_16,"영상 품질, 음성 품질이 아쉬웠습니다."
question_16,워크숍 자료를 제공해주시면 좋을 것 같습니다.
question_16,유저간 정보 공유 혹은 스몰토크류의 채팅을 통한 커뮤니케이션을 막는 형태의 진행 방식이었음. 다방향보다 일방향 컨퍼런스 느낌이 조금 강해보였음
question_16,일정 기간이라도 다시 보기가 가능하면 좋겠습니다.
question_16,자료 제공
question_16,재등록
question_16,접속
question_16,접속이 바동으로 끊겼는데 제대로 조치가 없었다
question_16,제가 이해력이 부족해서 그렇지 기대에 못 미친 부분은 없습니다.
question_16,줌 웨비나로 진행하면 참가자보기 없이 화면 공유만 깔끔하게 할 수 있는데 그 부분이 아쉬움
question_16,"줌이라는 온라인 플랫폼을 이용하여 집에서 안전하고 편히 볼 수 있었지만, 크지 않은 화면으로 보다보니 몇몇 발표에서 R을 이용해서 시연하거나 할때 영상을 제대로 보기 어려운 부분이 있어서 발표내용을 충분히 볼 수 없었다는 아쉬움이 있었습니다."
question_16,중간 타임 광고 또는 음악이 있었으면 하는 아쉬움. 줌에서 소리 조정에 한계가 있어서 아쉬움
question_16,중간중간 줌 종료
question_16,"컨퍼런스 내용 자체보다는 플랫폼 문제로 중간에 영상이 끊기거나 음성이 안 들리는 문제로 재접속, 재설정해야 했던 게 불편했습니다"
question_16,컨퍼런스는 역시 오프라인으로 해야 좋은 듯합니다. 포스터 세션도 만들어서 회사에서 일하시는 분들이 독립 프로젝트 소를 많이 하면 좋겠습니다.
question_16,코로나19 시국에서 온라인으로 진행이 되다보니 과거 오프라인 행사에 비해서 양방향 커뮤니케이션이 다소 아쉬었던 것 같습니다. 아무래도 텍스트로 질문을 할 수밖에 없는 구조적 문제라고 생각이 듭니다.
question_16,타이디벌스로 핸들링 못하는 사례가 많은데 마치 되는것처럼 얘기하셔서 아쉬워요
question_16,특별히 없었습니다.
question_16,평가할 만큼 실력이 안 됨
question_16,홈페이지에서 발표 자료를 바로 볼 수 있었으면 좋겠습니다.
